"","long","lat","order","hole","piece","id","group"
"70",17.363233,51.590386,70,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"71",17.389208,51.589322,71,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"72",17.40302,51.587364,72,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"73",17.420323,51.581566,73,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"74",17.43264,51.578049,74,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"75",17.448534,51.574574,75,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"76",17.467886,51.573796,76,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"77",17.482224,51.569796,77,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"78",17.51093,51.552979,78,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"79",17.524352,51.546672,79,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"80",17.534325,51.542645,80,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"81",17.556561,51.535099,81,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"82",17.551129,51.527206,82,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"83",17.548007,51.515781,83,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"84",17.543009,51.487652,84,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"85",17.532823,51.48164,85,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"86",17.506864,51.475531,86,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"87",17.499186,51.46695,87,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"88",17.496722,51.458999,88,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"89",17.495256,51.450329,89,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"90",17.494327,51.443614,90,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"91",17.495801,51.436841,91,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"92",17.498333,51.430546,92,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"93",17.49618,51.42382,93,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
